지점,위도(WGS84),경도(WGS84),설명
A,37.396106,126.632786,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
B,37.39785,126.63481,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
C,37.400363,126.637563,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
E,37.393533,126.634096,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
F,37.389498,126.637276,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
G,37.390266,126.63828,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
H,37.39534,126.644799,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
I,37.386073,126.639527,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
J,37.388078,126.641893,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
K,37.39114,126.645166,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
L,37.39332,126.647464,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
M,37.38236,126.642244,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
N,37.385739,126.645733,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
O,37.388874,126.648939,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
P,37.391034,126.651054,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
Q,37.378092,126.645561,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
R,37.373691,126.648639,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
S,37.380161,126.65495,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
T,37.384181,126.658788,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
U,37.388695,126.662994,송도 드론자료 교차로 중심(교차 M1 교차 지점 중앙값에 가장 가까운 관측점)
